Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Azulene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),22.16
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.00
60.00,24.98
90.00,24.98
120.00,25.02
150.00,25.02
180.00,25.00
210.00,24.98
240.00,25.01
270.00,25.01
300.00,25.01
330.00,25.82
360.00,27.06
390.00,27.96
420.00,28.54
450.00,28.82
480.00,29.00
510.00,29.09
540.00,29.10
570.00,29.14
600.00,29.17
630.00,29.13
660.00,29.14
690.00,29.15
720.00,29.16
750.00,29.12
780.00,29.13
810.00,29.13
840.00,29.13
870.00,29.13
900.00,29.11
930.00,29.13
960.00,29.09
