Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Benzoic Acid
Formula,C7H6O2
Molecular Weight (g/mol),122.113
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),23.09
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.99
60.00,25.01
90.00,24.99
120.00,25.01
150.00,25.00
180.00,24.99
210.00,25.01
240.00,24.99
270.00,25.00
300.00,24.99
330.00,25.53
360.00,26.31
390.00,26.90
420.00,27.27
450.00,27.46
480.00,27.55
510.00,27.62
540.00,27.63
570.00,27.67
600.00,27.67
630.00,27.68
660.00,27.65
690.00,27.65
720.00,27.67
750.00,27.64
780.00,27.66
810.00,27.65
840.00,27.66
870.00,27.65
900.00,27.63
930.00,27.64
960.00,27.65
