Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Capric Acid
Formula,C10H20O2
Molecular Weight (g/mol),172.257
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),22.62
Water Volume (L),2.0
Wire Before (g),0.026
Wire After (g),0.020
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.01
60.00,25.00
90.00,25.00
120.00,25.01
150.00,24.98
180.00,24.99
210.00,24.97
240.00,24.98
270.00,25.00
300.00,24.99
330.00,25.67
360.00,26.73
390.00,27.53
420.00,27.98
450.00,28.23
480.00,28.39
510.00,28.44
540.00,28.49
570.00,28.50
600.00,28.52
630.00,28.53
660.00,28.55
690.00,28.52
720.00,28.51
750.00,28.52
780.00,28.53
810.00,28.53
840.00,28.53
870.00,28.50
900.00,28.48
930.00,28.48
960.00,28.49
