Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Lauric Acid
Formula,C12H24O2
Molecular Weight (g/mol),200.311
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),23.84
Water Volume (L),2.0
Wire Before (g),0.024
Wire After (g),0.016
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.98
60.00,25.01
90.00,25.01
120.00,25.01
150.00,25.00
180.00,24.98
210.00,24.99
240.00,25.01
270.00,24.98
300.00,25.00
330.00,25.71
360.00,26.83
390.00,27.65
420.00,28.13
450.00,28.39
480.00,28.57
510.00,28.64
540.00,28.68
570.00,28.68
600.00,28.71
630.00,28.72
660.00,28.71
690.00,28.71
720.00,28.70
750.00,28.72
780.00,28.70
810.00,28.68
840.00,28.68
870.00,28.69
900.00,28.67
930.00,28.70
960.00,28.70
