Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Maleic Acid
Formula,C4H4O4
Molecular Weight (g/mol),116.052
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),22.58
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.022
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.01
60.00,25.00
90.00,25.00
120.00,25.00
150.00,25.01
180.00,24.99
210.00,25.00
240.00,25.00
270.00,24.98
300.00,25.01
330.00,25.23
360.00,25.57
390.00,25.85
420.00,26.00
450.00,26.07
480.00,26.11
510.00,26.14
540.00,26.17
570.00,26.16
600.00,26.17
630.00,26.18
660.00,26.15
690.00,26.15
720.00,26.14
750.00,26.17
780.00,26.13
810.00,26.15
840.00,26.15
870.00,26.16
900.00,26.16
930.00,26.13
960.00,26.14
