Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,Naphthalene
Formula,C10H8
Molecular Weight (g/mol),128.174
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),22.14
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.021
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.00
60.00,25.01
90.00,24.98
120.00,25.01
150.00,25.02
180.00,24.99
210.00,24.98
240.00,25.00
270.00,24.98
300.00,24.98
330.00,25.79
360.00,27.00
390.00,27.88
420.00,28.44
450.00,28.73
480.00,28.90
510.00,28.98
540.00,29.00
570.00,29.05
600.00,29.05
630.00,29.03
660.00,29.06
690.00,29.04
720.00,29.02
750.00,29.04
780.00,29.03
810.00,29.02
840.00,29.01
870.00,29.00
900.00,28.99
930.00,28.98
960.00,28.99
