Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,α-D-Galactose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),24.46
Water Volume (L),2.0
Wire Before (g),0.023
Wire After (g),0.014
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,25.00
60.00,25.01
90.00,24.98
120.00,25.00
150.00,25.01
180.00,24.98
210.00,24.98
240.00,24.98
270.00,25.00
300.00,24.98
330.00,25.31
360.00,25.76
390.00,26.10
420.00,26.33
450.00,26.44
480.00,26.50
510.00,26.51
540.00,26.54
570.00,26.56
600.00,26.56
630.00,26.56
660.00,26.58
690.00,26.57
720.00,26.55
750.00,26.55
780.00,26.56
810.00,26.55
840.00,26.55
870.00,26.55
900.00,26.55
930.00,26.55
960.00,26.58
