Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,α-D-Glucose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),24.80
Water Volume (L),2.0
Wire Before (g),0.027
Wire After (g),0.024
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.99
60.00,24.99
90.00,24.98
120.00,25.00
150.00,24.98
180.00,25.00
210.00,25.00
240.00,25.01
270.00,24.98
300.00,24.99
330.00,25.32
360.00,25.77
390.00,26.12
420.00,26.34
450.00,26.43
480.00,26.50
510.00,26.53
540.00,26.54
570.00,26.56
600.00,26.56
630.00,26.58
660.00,26.58
690.00,26.59
720.00,26.56
750.00,26.57
780.00,26.57
810.00,26.57
840.00,26.55
870.00,26.57
900.00,26.57
930.00,26.57
960.00,26.56
