Website,https://asu-molecular-sciences-cloud-lab.github.io/bomb_calorimetry_v2/ 
Simulated Calorimeter,Parr #9255
Sample Name,β-D-Fructose
Formula,C6H12O6
Molecular Weight (g/mol),180.126
Sample Weight (g),1.0000
Water Temp (deg C),25.00
Room Temp (deg C),22.18
Water Volume (L),2.0
Wire Before (g),0.028
Wire After (g),0.019
=====,=====
Time (s),Temperature (C)
0.00,25.00
30.00,24.98
60.00,24.99
90.00,25.00
120.00,24.99
150.00,25.00
180.00,25.00
210.00,25.00
240.00,24.99
270.00,24.97
300.00,25.00
330.00,25.29
360.00,25.77
390.00,26.09
420.00,26.31
450.00,26.42
480.00,26.50
510.00,26.52
540.00,26.53
570.00,26.53
600.00,26.53
630.00,26.53
660.00,26.54
690.00,26.55
720.00,26.56
750.00,26.55
780.00,26.55
810.00,26.52
840.00,26.54
870.00,26.53
900.00,26.54
930.00,26.51
960.00,26.50
